compound,aurl,log(kappa),agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K
C1Sn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,1.163513202,0.015628451,0.104726285,0.542808894,0.257623399
Er1Hg2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Hg2_ICSD_103246,0.280259589,0.028226712,0.13719547,0.36238721,0.140196929
Cu36Ga16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cu9Ga4_ICSD_627389,-0.181905471,0.531510561,0.145268889,0.488120105,0.226294876
Ga3Ni5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga3Ni5_ICSD_103861,0.517061233,0.077366166,0.094897775,0.505414208,0.345730397
As1Rh2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Rh2_ICSD_43362,0.918761413,0.026587408,0.06435919,0.500273109,0.415423552
Cr3N1Pt1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cr3N1Pt1_ICSD_53142,0.56499728,0.047283446,0.118767013,0.492723263,0.253315855
La3Sn7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/La3Sn7_ICSD_261872,0.171390001,0.102856651,0.108236467,0.395578614,0.116614488
Cr2N6Sr6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cr1N3Sr3_ICSD_154803,0.662803147,0.135439559,0.087350883,0.530738769,0.183525234
Cu2Nb8Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cu1Nb4Si1_ICSD_628492,0.922575479,0.114653811,0.048738879,0.538113181,0.401342245
Sc4Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sc1Te1_ICSD_262042,0.426945339,0.080309084,0.098056939,0.440411535,0.135940503
Pd1Zr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pd1Zr2_ICSD_105758,0.920515163,0.027225581,0.063481644,0.465814038,0.269139718
Mo2P4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Mo1P2_ICSD_37222,1.351850397,0.049045629,0.05260008,0.61612605,0.402725839
Bi2Ho6Rh1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi2Ho6Rh1_ICSD_180044,0.30798568,0.092590115,0.084893756,0.374869253,0.138866725
Rh1Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Y1_ICSD_105972,0.922033252,0.016928206,0.072608118,0.45232774,0.240629501
Co4Er4Ga4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Er1Ga1_ICSD_102373,0.234876516,0.123068962,0.089632501,0.427830262,0.22799313
C3N4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C3N4_ICSD_246659,1.953895901,0.017005903,0.023044346,0.907106918,0.845882615
O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/O2_ICSD_164724,0.836174683,0.032234586,0.115783359,0.602384233,0.226073137
Al2Cu2O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1Cu1O2_ICSD_31368,0.933221973,0.06859166,0.0780489,0.601900486,0.376705638
B28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B28_ICSD_164658,1.579239245,0.092701162,0.028204314,0.878465449,0.52616106
Au2Ta6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1Ta3_ICSD_58599,0.619169534,0.080713585,0.047159297,0.427061904,0.41965158
Al3La1Pd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al3La1Pd2_ICSD_105500,0.718653624,0.05750884,0.084893756,0.49380352,0.223657641
C1In1La3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1In1La3_ICSD_80956,0.765830175,0.048766374,0.084718246,0.435531435,0.123812585
Al4Se8Sr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al2Se4Sr1_ICSD_609319,0.396394648,0.141555135,0.108938503,0.471039415,0.111888685
Ge6Rh10,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge3Rh5_ICSD_42776,0.415737701,0.159647001,0.066816317,0.498124548,0.427623717
C1Er1Rh3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Er1Rh3_ICSD_108131,0.89461343,0.046895693,0.059444935,0.503677677,0.444056452
Ga4La4Pt4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ga1La1Pt1_ICSD_634512,-0.031805276,0.124708448,0.084893756,0.378829218,0.205955134
Rh4Sb12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Rh1Sb3_ICSD_650248,0.356733162,0.163297705,0.084367228,0.459735732,0.188169703
Co8Ge26Lu6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Co4Ge13Lu3_ICSD_623466,0.228680045,0.405481714,0.095424302,0.497165848,0.232066667
Nb2Pt2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt1_ICSD_645211,0.983899946,0.037292888,0.048387861,0.481856644,0.494227073
F12Na4Zn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/F3Na1Zn1_ICSD_69349,0.22086091,0.194402783,0.169664655,0.53504153,0.169190382
Ca8H4N4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2H1N1_ICSD_292,0.686355585,0.143811385,0.118064977,0.591266607,0.147718774
Mn2Te2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn1Te1_ICSD_174028,0.376005429,0.038678605,0.127015941,0.398199421,0.105939458
Dy2S4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Dy1S2_ICSD_630195,0.779079648,0.057843436,0.081910101,0.485274225,0.20153195
Ba1O3Pu1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1O3Pu1_ICSD_43768,0.846441033,0.047442916,0.076469318,0.487885335,0.260508726
Ir4Zr12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ir1Zr3_ICSD_104607,0.0638548,0.167180333,0.052249061,0.39123977,0.302520913
Au2Nb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au2Nb1_ICSD_58558,0.680048004,0.027651344,0.070502009,0.434112441,0.357960096
Ni3P3W3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1W1_ICSD_646181,0.722082479,0.087272619,0.053477625,0.509340322,0.566414787
Ir4Si4Ta4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Si1Ta1_ICSD_411884,0.953074619,0.116434198,0.042947079,0.522255775,0.573107839
B8Fe4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Fe1_ICSD_425310,1.501186655,0.071680577,0.041543006,0.738398288,0.69993048
La1S1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1S1_ICSD_183951,0.964317155,0.016803397,0.088930465,0.465141076,0.169341009
Br1K3O1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br1K3O1_ICSD_33920,0.111951057,0.049138107,0.351144583,0.414036801,0.037824145
Ga2P2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ga1P1_ICSD_67772,0.918793353,0.035914453,0.10367323,0.527529901,0.16293013
Au4In8Na12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au1In2Na3_ICSD_170867,-0.800554752,0.255402711,0.323779203,0.330331091,0.053913595
Al1Pt3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Pt3_ICSD_107869,0.627779468,0.038019606,0.063832663,0.446628087,0.477385393
Li3Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li3Sb1_ICSD_44900,0.653029106,0.037196405,0.256718927,0.485747373,0.066688326
Ba2Be4N4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ba1Be2N2_ICSD_415304,0.922637241,0.090446369,0.088579447,0.576277421,0.231355559
Ba1Fe1O3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1Fe1O3_ICSD_262131,0.858983894,0.044665657,0.110693594,0.552086204,0.255040236
Cl16Hg12O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cl4Hg3O1_ICSD_28377,-0.450029854,0.338958216,0.174403401,0.384083011,0.089777534
Sb1Tl1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sb1Tl1_ICSD_184577,0.170235305,0.017584365,0.186495978,0.32006662,0.060689343
Dy2Pd2Sb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Pd1Sb1_ICSD_630088,0.389392922,0.059800406,0.084893756,0.412839272,0.202470931
Cd2Cu2F8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cd1Cu1F4_ICSD_73478,0.238713349,0.118385342,0.142811761,0.501995205,0.206258434
Au2O4Sc2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au1O2Sc1_ICSD_95669,0.440567492,0.078938659,0.087701901,0.475697149,0.285942775
Pb4Sr8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pb1Sr2_ICSD_105624,-0.089908386,0.125421695,0.166681,0.345532043,0.051970202
Ag1In5Te8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1In5Te8_ICSD_151871,-0.087279615,0.146234386,0.150183144,0.376652241,0.074590942
Mn2Si2Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Mn2Si2Y1_ICSD_643695,0.911905656,0.045208876,0.108762994,0.541944575,0.17753693
Al40V4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al10V1_ICSD_58202,0.189066199,0.423522244,0.102093648,0.554554783,0.183389147
