compound,aurl,log(kappa),agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K
La8S12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La2S3_ICSD_15151,0.32805325,0.204163237,0.080681537,0.469193957,0.16254913
Ni1Si3Sr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ni1Si3Sr1_ICSD_174268,0.900702962,0.045205599,0.10174263,0.542006459,0.193674999
Er2Ge2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Er1Ge1_ICSD_42380,0.881227118,0.037740351,0.088754956,0.461626745,0.180733055
Ag3Ge3Tb3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ge1Tb1_ICSD_86730,0.0179344,0.09239897,0.114554795,0.384753041,0.156037605
C21Si21,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_43827,1.170640091,0.246851755,0.039612406,0.75324359,0.462245376
Lu4Mn2S8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Lu2Mn1S4_ICSD_37421,0.58304907,0.140772347,0.084893756,0.480762855,0.15348125
As12Co4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/As3Co1_ICSD_38229,0.657891114,0.154461669,0.089808011,0.536624366,0.231707705
Rh1Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Sc1_ICSD_105919,1.183494764,0.016165917,0.069097936,0.513649239,0.293714984
Ba6C60,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ba6C60_ICSD_70062,0.823726516,0.500635951,0.044526661,0.678633689,0.458708009
B14Mn2Y6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/B7Mn1Y3_ICSD_614789,1.175291421,0.172574652,0.054881698,0.660283979,0.385316182
Cd1Cu1Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd1Cu1Sb1_ICSD_52796,-0.680377677,0.028562509,0.161591236,0.255148135,0.106618532
Al2B2Ru3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al2B2Ru3_ICSD_43843,1.021383654,0.062200106,0.056110262,0.575129281,0.535235075
Cu2Ga2Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cu1Ga1Te2_ICSD_28738,0.135450699,0.081261537,0.14895458,0.405444586,0.096493759
B1Tc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1Tc1_ICSD_168895,1.75371708,0.01329618,0.04277157,0.62610591,0.663959306
B2Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B2Sc1_ICSD_165123,1.955674284,0.014901987,0.045053188,0.737983776,0.406401792
B1Pb1Sc3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1Pb1Sc3_ICSD_167915,1.113304804,0.046082321,0.084893756,0.523673212,0.166351174
Dy3In1N1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Dy3In1N1_ICSD_98504,0.951493429,0.04788419,0.078575428,0.473207371,0.193186083
Au2In1Ti1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2In1Ti1_ICSD_58510,-0.114491213,0.039112961,0.097530411,0.343196072,0.24958992
As2C2V6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/As1C1V3_ICSD_25761,0.835905447,0.092382586,0.057514335,0.560869438,0.4540256
Ce4O28P8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ce1O7P2_ICSD_160452,0.289348106,0.380985915,0.062077572,0.562396006,0.301194117
Hg4Pt1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Hg4Pt1_ICSD_108762,-0.074141516,0.049864825,0.237279539,0.348796269,0.102714253
Cu2Si2Y2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cu1Si1Y1_ICSD_30772,0.947900117,0.05565964,0.085069265,0.531880685,0.206902749
Rb4Te2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Rb2Te1_ICSD_55118,-0.404511494,0.061057964,0.332661718,0.287991105,0.02666906
C1Ir1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Ir1_ICSD_169404,1.127629524,0.016278638,0.051196007,0.506493405,0.72742288
Cu2Dy2Pb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cu1Dy1Pb1_ICSD_107274,0.519782069,0.059560836,0.115958868,0.425107744,0.148236542
Co3Hf3Sn3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Co1Hf1Sn1_ICSD_623801,0.32422482,0.091529165,0.083840701,0.419946641,0.221998237
C2Ho1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/C2Ho1_ICSD_17026,1.030267702,0.026437477,0.06822039,0.50699215,0.335733986
In1P1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/In1P1_ICSD_53104,0.77120887,0.016813701,0.120522104,0.464143812,0.158489906
Cu1Mg1Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Mg1Sb1_ICSD_412294,0.634237385,0.02737249,0.136493433,0.455967461,0.134774104
Ru2Sb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ru1Sb2_ICSD_42608,0.893413299,0.057260168,0.070677518,0.499731627,0.257498444
As4Na12S12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Na3S3_ICSD_1036,-0.037338549,0.285291372,0.177913583,0.482615981,0.08394213
Dy1In1Pt4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy1In1Pt4_ICSD_629864,0.450213686,0.059650402,0.06822039,0.420701919,0.350930802
As4Ge2Zn2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/As2Ge1Zn1_ICSD_610626,0.500240593,0.07910978,0.124207796,0.471907003,0.127660976
Fe1O3Sr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Fe1O3Sr1_ICSD_163228,0.905704156,0.042768034,0.110693594,0.582547196,0.278361407
Cs1K2Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cs1K2Sb1_ICSD_53237,-0.097720728,0.03921891,0.394304027,0.322687652,0.023999564
Er16O24,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Er2O3_ICSD_27774,0.363102184,0.400118707,0.068746918,0.514806648,0.330270039
Nb2Pt6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt3_ICSD_645212,0.655131709,0.079426536,0.049967443,0.464488863,0.545663148
Au8Er8Sn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Au2Er2Sn1_ICSD_106282,-0.065127005,0.210251142,0.097354902,0.3857264,0.178636081
Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Si1_ICSD_150530,1.418082431,0.013885747,0.0780489,0.608695731,0.191264728
Bi1Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi1Tb1_ICSD_43603,0.817835645,0.017377308,0.090861065,0.383965964,0.118637398
Ga3Pt2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ga3Pt2_ICSD_103926,0.2692607,0.049047449,0.100514066,0.419737807,0.27356313
Th1Tl3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Th1Tl3_ICSD_106159,-0.084540539,0.039265878,0.133334269,0.311830731,0.117609358
Ir2Pb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ir1Pb1_ICSD_104538,0.49604633,0.03862472,0.075240755,0.403194539,0.280462925
B8Ir4Mo8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Ir1Mo2_ICSD_23786,0.905033443,0.185935202,0.042947079,0.572531026,0.692028771
Ge6Ir7Sc4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ge6Ir7Sc4_ICSD_636731,0.715662456,0.167386407,0.058040862,0.517133214,0.400433481
Ir2Sn8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ir1Sn4_ICSD_641053,0.272073788,0.10194971,0.100514066,0.4258646,0.172733882
Ca24N16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ca3N2_ICSD_162791,0.23843002,0.388617187,0.105428321,0.545508905,0.152793542
Ni3Pd3Si3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1Pd1Si1_ICSD_646219,0.547919856,0.086828069,0.078224409,0.515485112,0.400049528
Te1Zn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Te1Zn1_ICSD_104196,0.585042026,0.01729,0.141934216,0.401624445,0.090706519
F3K1Ni1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/F3K1Ni1_ICSD_15426,0.621768098,0.045628305,0.168787109,0.533512188,0.153198851
Al2H8Na2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al1H4Na1_ICSD_165838,0.58836472,0.101190223,0.225432674,0.620838812,0.097462502
C14Si14,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Si1_ICSD_28303,1.287472526,0.163445525,0.039787915,0.752878242,0.462254463
Hg1Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Hg1Y1_ICSD_104367,0.494845852,0.017438256,0.104199757,0.369304914,0.14066199
Er1Rh1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Er1Rh1_ICSD_103293,0.903147527,0.01711491,0.071204045,0.429443656,0.257414383
Al2Li1Pt1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Li1Pt1_ICSD_105507,0.895483873,0.036268346,0.09577532,0.517451112,0.26550466
Ho1Rh3Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ho1Rh3Si2_ICSD_56243,1.048496184,0.055376744,0.058567389,0.536755733,0.388942153
Ag2Er2S4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Er1S2_ICSD_423921,0.413433888,0.080237723,0.100689575,0.442588738,0.157983951
N4Nb16Ni8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Nb4Ni2_ICSD_644564,0.73650088,0.265818523,0.047685825,0.561362657,0.490228509
La1Ru2Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/La1Ru2Si2_ICSD_55351,1.199675659,0.044810564,0.05646128,0.549460661,0.335409103
Sb1Th1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sb1Th1_ICSD_44718,0.663037201,0.017421071,0.065587754,0.373681647,0.1700762
Ba1Se1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1Se1_ICSD_43655,0.660181257,0.017309588,0.127717978,0.397944354,0.076520022
In3Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/In3Tb1_ICSD_59546,0.449418226,0.038759432,0.120346595,0.39011531,0.116950504
Mg4Pt2Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mg2Pt1Si1_ICSD_68513,0.670909779,0.077021375,0.099461012,0.51097496,0.218905484
Bi8Th6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Bi4Th3_ICSD_58862,0.218459353,0.146113509,0.075767282,0.380720231,0.150743824
Al8Sb8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Sb1_ICSD_41994,0.289921012,0.16294272,0.117362941,0.464152833,0.114452083
Ge6Lu4Ru7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ge6Lu4Ru7_ICSD_90199,0.614499634,0.169516318,0.063657153,0.501097848,0.344817088
Bi4Pt4Se4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Bi1Pt1Se1_ICSD_616991,0.049175367,0.124496185,0.087175374,0.38679741,0.203895192
Co4O14Sb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2O7Sb2_ICSD_247302,0.586230497,0.199261529,0.081208064,0.591274049,0.374740434
Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si1_ICSD_30101,1.215835766,0.031833907,0.0780489,0.608688739,0.191405586
Nb1Ru1Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Nb1Ru1Sb1_ICSD_83929,1.060074275,0.02674626,0.051547025,0.492675903,0.371425715
Ge6Ho4Ir7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ge6Ho4Ir7_ICSD_636630,0.671896372,0.170011477,0.059620444,0.497016777,0.377875672
Br1Li1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Br1Li1_ICSD_27982,0.351960489,0.017212886,0.365666206,0.414877552,0.050740189
Ag2Br2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1Br1_ICSD_56549,-0.330209095,0.039220002,0.272276055,0.32241071,0.069238319
Ho4Ir4Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ho1Ir1Si1_ICSD_411735,0.707975329,0.119928345,0.058216371,0.482866989,0.347318463
Mo4Si4Zr4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Mo1Si1Zr1_ICSD_644448,1.024091422,0.111471323,0.048036843,0.562264976,0.39679615
Ag2Ba1Sn2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Ba1Sn2_ICSD_25332,0.124292243,0.049612149,0.171946273,0.376934596,0.087056693
Cd2N2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cd1N1_ICSD_185566,0.349665984,0.038437943,0.09770592,0.418797374,0.224836309
Nb1O3Sr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nb1O3Sr1_ICSD_42004,1.059389211,0.043583226,0.064534699,0.57025324,0.377021433
B3Pt6Y3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/B1Pt2Y1_ICSD_156946,0.44285589,0.121739679,0.063130626,0.454839394,0.363389965
C2Cr4Ga2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Cr2Ga1_ICSD_419116,0.630515335,0.073392152,0.132281215,0.557693843,0.24378973
Nd1Pd3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Nd1Pd3_ICSD_105273,0.638060741,0.037912565,0.093669211,0.452643698,0.240068339
Be1Se1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Be1Se1_ICSD_52720,1.369746338,0.015252931,0.101918139,0.559771815,0.189936795
Dy4Hf4O14,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2Hf2O7_ICSD_162004,0.77148606,0.209177813,0.058918408,0.556748674,0.419122224
Al1La3N1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1La3N1_ICSD_185959,0.870124041,0.048011256,0.079979501,0.468570836,0.146602129
B8Dy2Rh8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B4Dy1Rh4_ICSD_613679,0.682086384,0.172453047,0.057689844,0.546502335,0.510848377
Ag3As3Ca3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1As1Ca1_ICSD_10017,0.406172152,0.090068082,0.138775052,0.459953587,0.119373271
As3Cr3Ni3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/As1Cr1Ni1_ICSD_610241,0.522977319,0.086674788,0.08208561,0.517532233,0.386263569
Bi2Pt2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi1Pt1_ICSD_58845,-0.054485132,0.039236386,0.086297828,0.318773243,0.210258589
Ga1Li1Si1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Li1Si1_ICSD_103786,0.929939256,0.025389306,0.174403401,0.545495103,0.118314333
In2Li2O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/In1Li1O2_ICSD_40665,0.864149612,0.070882133,0.099636521,0.582400155,0.294083034
B8Dy4Os4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Dy1Os1_ICSD_613666,0.960911983,0.151926528,0.053126607,0.551749272,0.481679306
Ag4Sr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Ag2Sr1_ICSD_58359,-0.057570266,0.060526032,0.209922934,0.361394005,0.072373102
Ir4Th2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir2Th1_ICSD_104571,0.779643381,0.059154879,0.046281752,0.442900637,0.438104044
Rh4Sb12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Rh1Sb3_ICSD_44716,0.357010035,0.163293336,0.084191719,0.459790985,0.188246039
F4Pd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/F2Pd1_ICSD_16763,0.222973851,0.058627316,0.142811761,0.462105306,0.187184602
Ni1Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ni1Sc1_ICSD_105333,1.019153692,0.016316066,0.08998352,0.504012106,0.221292354
Ag1Ho1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Ho1_ICSD_104474,0.578837405,0.017378146,0.118591504,0.383779005,0.130559935
As4Ge3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As4Ge3_ICSD_163833,0.566363237,0.068876012,0.113852758,0.467615519,0.129141127
Lu4Mg2S8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Lu2Mg1S4_ICSD_37420,0.415160388,0.14232518,0.086473338,0.460493716,0.153513965
Hf4Pt4Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Hf1Pt1Si1_ICSD_638791,0.791228044,0.1186737,0.054004153,0.498663548,0.423372971
Ag2Er1In1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Er1In1_ICSD_58254,-0.04328952,0.039074732,0.138424034,0.349603417,0.147806697
Cu4In1Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu4In1Sc1_ICSD_416528,0.605627145,0.057469154,0.120346595,0.494766504,0.213100977
C2Ge2V4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Ge1V2_ICSD_166031,1.193783891,0.067938851,0.055057207,0.607065422,0.447153068
C1Cd1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cd1_ICSD_183177,0.472586793,0.017061135,0.129473069,0.436593875,0.215125932
Ca6Cr2N6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ca3Cr1N3_ICSD_40205,0.784787697,0.125693304,0.082612137,0.58946693,0.227513756
Os4P4Zr4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Os1P1Zr1_ICSD_647720,0.927728021,0.114717526,0.046281752,0.537577608,0.51164809
Ag8Sr8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ag1Sr1_ICSD_58358,-0.275677426,0.168341772,0.20666373,0.355174972,0.053801135
Ge4Hf4Ir4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge1Hf1Ir1_ICSD_636558,0.723095115,0.119822031,0.051722534,0.484299513,0.442584254
O1V1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O1V1_ICSD_28681,1.399542202,0.013909121,0.08015501,0.60797135,0.346148429
Mg1O1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mg1O1_ICSD_101007,1.649719321,0.011008036,0.076995846,0.683848241,0.322670496
K6Se6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/K2Se2_ICSD_73172,-0.201913129,0.124527861,0.255878239,0.385654909,0.041902453
Ga2Pt1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga2Pt1_ICSD_103925,-0.35610733,0.028383488,0.136493433,0.326975077,0.219674526
Cl3Mn1Tl1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cl3Mn1Tl1_ICSD_23167,0.110222593,0.049464693,0.210481053,0.390125233,0.068576738
Ba1Li1Si1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ba1Li1Si1_ICSD_42890,0.630409567,0.027660228,0.174227892,0.433333033,0.063113473
Sb8Tb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Sb2Tb1_ICSD_651606,0.288137395,0.123812065,0.091036574,0.408668893,0.138343277
C2La1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/C2La1_ICSD_26587,1.011358954,0.026278298,0.0703265,0.51371304,0.263248652
La2Sn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/La1Sn2_ICSD_657383,0.35236006,0.060061092,0.104726285,0.397404902,0.11678829
Al1Tc2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Tc2_ICSD_609480,1.397508975,0.024679736,0.046281752,0.566141498,0.52077663
In2Na10O8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/In1Na5O4_ICSD_69630,0.123502106,0.198541,0.1705422,0.511637164,0.125552188
Li8Mg4Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Li2Mg1Si1_ICSD_167141,0.584275803,0.142058668,0.181099073,0.598600627,0.094310907
B1Ho1Rh3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1Ho1Rh3_ICSD_44418,0.991331534,0.04644204,0.062604099,0.515256905,0.398563698
N1Na3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/N1Na3_ICSD_165989,0.281499245,0.03745163,0.317824178,0.475122967,0.053230885
Al2Co1Zr6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al2Co1Zr6_ICSD_150575,0.895912922,0.087526752,0.059795953,0.505672094,0.242526547
Ge26Rh8Y6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge13Rh4Y3_ICSD_637724,0.250415123,0.403486515,0.086473338,0.504050017,0.2341023
N8Si6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/N4Si3_ICSD_97567,1.339803107,0.08698317,0.038910369,0.730005661,0.571890094
Hg1P1Pt5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Hg1P1Pt5_ICSD_639129,0.273938336,0.070439039,0.067518354,0.413074718,0.427741856
C1Sc3Tl1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Sc3Tl1_ICSD_50164,1.152694923,0.045349049,0.078750937,0.539185928,0.204373202
Cu2Ho2Sn2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cu1Ho1Sn1_ICSD_627988,0.649736833,0.058956087,0.099461012,0.450579933,0.166321639
Ba6P8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCF/Ba3P4_ICSD_38322,0.249156761,0.143616598,0.116836413,0.439897793,0.096183643
Li2S1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li2S1_ICSD_54396,0.996902886,0.023795586,0.207413154,0.588241887,0.084025736
Al4Cd2Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al2Cd1Se4_ICSD_51424,0.179428264,0.143199718,0.109465031,0.447018243,0.139546935
Pt4Sb4Se4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pt1Sb1Se1_ICSD_649563,0.196971617,0.123380257,0.083314174,0.420258314,0.224213805
Sb1Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sb1Tb1_ICSD_43602,0.972325516,0.017197922,0.081734592,0.417251862,0.132393141
B6H24Y2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B3H12Y1_ICSD_169076,0.488890405,0.260319347,0.154044344,0.648553831,0.125721673
Pd3Sn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pd3Sn1_ICSD_105689,0.459232614,0.038047277,0.094722266,0.445019429,0.293764966
Er1Ni2Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Er1Ni2Si2_ICSD_245051,0.948403673,0.046027708,0.075767282,0.524899922,0.306937509
In2S4Tl2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/In1S2Tl1_ICSD_25355,0.202482868,0.081058012,0.137546488,0.414051911,0.116054008
Ru8Si12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ru2Si3_ICSD_95587,0.841694136,0.181852327,0.053828643,0.587551335,0.450083834
Al3Nb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al3Nb1_ICSD_107857,1.438232141,0.031969858,0.064183681,0.606574683,0.275255704
O28P8Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O7P2Si1_ICSD_19047,0.904123463,0.273918739,0.045053188,0.710332805,0.46573276
Al1Ti1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Al1Ti1_ICSD_107891,1.302491107,0.014827022,0.089632501,0.57675553,0.211744419
Co4P12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1P3_ICSD_92393,0.948891013,0.134157244,0.073134645,0.628377833,0.302257371
Al6C8Zr4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al3C4Zr2_ICSD_153859,1.212118325,0.138173127,0.049616425,0.666490834,0.423945492
Au2Sn2Y2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au1Sn1Y1_ICSD_612362,0.363111595,0.059813513,0.100338557,0.412110831,0.169493
Ge12Ir8S12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge3Ir2S3_ICSD_636729,0.273998425,0.323316658,0.079803991,0.498297298,0.258879766
Pd4Sb4Se4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pd1Sb1Se1_ICSD_93905,0.094966982,0.123339115,0.098232448,0.421297977,0.189237501
S4W2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S2W1_ICSD_202366,1.238367312,0.05411773,0.054355171,0.556407683,0.310974695
Co4P12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Co1P3_ICSD_23711,0.947945163,0.134180545,0.073134645,0.628295742,0.302230108
Al8C4Nb12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al0.4C0.2Nb0.6_ICSD_606235,0.9325108,0.216956176,0.047510316,0.593511016,0.422991289
Ni2O2Zr6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ni1O1Zr3_ICSD_71964,0.803873456,0.096285238,0.060146971,0.523011075,0.336935828
As2La1Ni2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/As2La1Ni2_ICSD_610772,0.820282923,0.046965962,0.089105974,0.501766074,0.241642774
Al1F3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1F3_ICSD_130021,1.236882242,0.029631142,0.085771301,0.640120159,0.263816629
Rh2Si2Th1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Rh2Si2Th1_ICSD_650332,1.095458785,0.045896637,0.055759244,0.527793457,0.377280431
